id;start_date;end_date;language
1;2020-01-26T12:26:45;2020-01-26T10:17:00;SPANISH
2;2020-01-25T17:16:56;2020-01-26T12:21:21;SPANISH
3;2020-01-26T08:12:15;2020-01-25T18:46:24;FRENCH
4;2020-01-25T23:29:46;2020-01-26T11:01:12;FRENCH
5;2020-01-26T09:00:04;2020-01-26T13:47:03;FRENCH
6;2020-01-26T02:52:25;2020-01-26T15:00:39;FRENCH
7;2020-01-26T04:37:45;2020-01-25T22:28:36;FRENCH
8;2020-01-26T03:33:58;2020-01-26T13:50:06;SPANISH
9;2020-01-26T02:15:07;2020-01-25T22:56:30;SPANISH
10;2020-01-26T10:27:11;2020-01-25T21:01:41;SPANISH
